community_sdg_id,community_id,activity_id,sdg_goal,sdg_target,alignment_type,evidence_summary_zh,indicator_name_zh,observed_value,observed_unit,confidence_score,assessment_method,assessed_on,reviewer_role,source_title,source_url,record_status,data_quality_flag,is_example,created_at,updated_at,schema_version,notes
SDG-CAND-ACT-2023-0001,COM-0007,ACT-2023-0001,10,10.2,indirect,「新忠社區互助共好大家庭」的核定名稱與活動類型支持提出 SDG 10 候選；關懷與互助方案可能促進高齡或弱勢群體社會包容，但沒有成果或涵蓋率證據。,,,,0.4,rule_based,2026-08-03,ai_assisted_candidate,112年社區發展及互助共好補助計畫專案五、專案六第一梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5LqU5bCI5qGI5YWt56ys5LiA5qKv5qyh5qC45a6a6KGoKOeZvOaWhykucGRm&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYxMC8yZDc1ZGVlNC04MTZhLTQ5MjgtOTYwYi02NWY3ZjBkYmJlYTgucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 10: Reduced Inequalities（https://sdgs.un.org/goals/goal10）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2023-0002,COM-0010,ACT-2023-0002,10,10.2,indirect,「社區互助關懷、共創美好社區」的核定名稱與活動類型支持提出 SDG 10 候選；關懷與互助方案可能促進高齡或弱勢群體社會包容，但沒有成果或涵蓋率證據。,,,,0.4,rule_based,2026-08-03,ai_assisted_candidate,112年社區發展及互助共好補助計畫專案五、專案六第一梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5LqU5bCI5qGI5YWt56ys5LiA5qKv5qyh5qC45a6a6KGoKOeZvOaWhykucGRm&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYxMC8yZDc1ZGVlNC04MTZhLTQ5MjgtOTYwYi02NWY3ZjBkYmJlYTgucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 10: Reduced Inequalities（https://sdgs.un.org/goals/goal10）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2023-0003,COM-0005,ACT-2023-0003,4,4.7,indirect,「忠貞里中正新城社區 A THINKER AND A DOER」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2023-0004,COM-0012,ACT-2023-0004,11,11.4,indirect,「壽德公園青銀共樂繪工作坊」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2023-0005,COM-0007,ACT-2023-0005,11,11.4,indirect,「長者生命故事共創社區意象地圖」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0001,COM-0010,ACT-2024-0001,11,11.4,indirect,「元宵節活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0002,COM-0023,ACT-2024-0002,10,10.2,indirect,「高齡與弱勢關懷暨親子活動」的核定名稱與活動類型支持提出 SDG 10 候選；跨世代、親子或弱勢參與可能促進社會包容，但尚無參與成果證據。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 10: Reduced Inequalities（https://sdgs.un.org/goals/goal10）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0003,COM-0004,ACT-2024-0003,11,11.4,indirect,「堀江町社區歡慶活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0004,COM-0017,ACT-2024-0004,11,11.4,indirect,「綠堤里歡慶元宵活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0005,COM-0011,ACT-2024-0005,11,11.4,indirect,「元宵節活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
